family,class,cap-diameter,does-bruise-or-bleed,gill-attachment,stem-height,stem-width,has-ring
0,1,15,0,3,17.5,17.5,1
0,1,7.5,0,3,8,15,1
0,1,12.5,0,3,11,15,1
0,0,10,1,5,11,17.5,1
0,1,8.5,0,5,11,15,1
0,0,6.5,0,3,6,12.5,1
0,1,7.5,0,3,12.5,12.5,1
0,0,6,0,3,12.5,12.5,0
12,0,17.5,0,5,25,20,1
12,0,15,1,3,10,17.5,1
12,1,3.5,0,3,4.5,3.5,1
21,1,3.5,0,0,5.5,3.5,1
21,0,2.5,0,1,6.5,3.5,0
21,0,2.5,0,5,6,4.5,0
21,0,10,0,7,7.5,20,0
21,0,8.5,0,7,7,20,0
21,0,14,0,1,8.5,25,0
21,1,6,0,2,5.5,10,0
21,0,6,0,2,5,8,0
21,0,4.5,0,1,6,7.5,0
21,1,3,0,2,3,7.5,0
21,1,4.5,0,8,6,5,0
21,1,3.5,0,8,4.5,3,0
21,1,3.5,0,8,8,4,0
21,0,6,0,8,7,10,0
21,1,9,0,8,10,11.5,0
21,0,3.5,0,8,4.5,3,0
21,1,1,0,0,3,1.5,0
21,1,0.75,0,0,4,1,0
21,0,4,0,0,5.5,3.5,0
21,1,2,0,0,5,2,0
21,1,2.5,0,0,7,2.5,0
21,0,1.5,0,0,5,1.5,0
21,0,1,1,0,5.5,1,0
21,1,3.5,0,0,5.5,5.5,0
21,0,1.5,0,1,6,2,0
21,1,0.7,0,5,3.5,0.75,0
21,1,0.7,0,2,4.5,1,0
21,1,1.5,0,2,2,2.5,0
21,1,7,0,8,14,7.5,0
21,0,6,0,0,6,5,1
21,0,4.5,0,0,6.5,5.5,0
21,0,10,0,1,9,15,1
21,0,10,0,5,7,25,1
21,1,6.5,1,7,5.5,15,0
21,0,6,0,7,5,10,0
21,0,5,0,7,4.5,7.5,0
21,0,7.5,0,7,9,12.5,0
21,1,5.5,0,7,5.5,13,0
21,0,8.5,0,7,7,30,0
21,0,8,0,0,7.5,14,0
21,0,7,0,7,6,10,0
21,1,8,0,7,7,17.5,0
22,0,3.5,0,2,3.5,6,0
22,1,4.5,0,0,6,7.5,0
22,1,2.5,0,1,3,5.5,0
22,1,5.5,0,3,7,7.5,0
22,0,6.5,0,2,6,12.5,0
22,0,3.5,0,0,4.5,6.5,0
22,1,3,0,0,5,6,0
22,0,4,0,2,6,7.5,0
18,0,7,0,0,6,15,0
18,0,4,0,0,4,9,0
18,0,7,1,8,7.5,15,0
18,1,7,0,8,5.5,15,0
18,1,10.5,0,0,10.5,30,0
18,1,4,0,0,4.5,7.5,0
18,1,4,0,8,5,6.5,0
18,0,7.5,0,8,7,17.5,0
18,0,10,0,8,7.5,20,0
18,0,8,0,0,4.5,15,0
18,0,16.5,0,0,7,22.5,0
18,1,7.5,0,8,6,17.5,0
18,1,5,0,5,3.5,12.5,0
18,0,11,0,8,7,22.5,0
18,1,7.5,0,8,6.5,11.5,0
18,0,11.5,1,2,6,25,0
18,1,17.5,1,2,7,30,0
18,1,6.5,1,2,7,9,0
18,1,7.5,1,2,4.5,12.5,0
18,1,13.5,1,2,5,25,0
18,1,7,1,2,6,9,0
18,1,5.5,1,2,6,6,0
18,1,3,1,2,3.5,6,0
18,0,3.5,1,2,4.5,6,0
18,1,9,1,2,8,15,1
18,0,10,1,2,6,17.5,0
18,1,8.5,1,2,5,12.5,1
17,0,9,0,3,7,10,0
17,0,6.5,0,3,5.5,10,0
8,1,3.5,0,7,4,3,0
8,1,4,0,8,6,4.5,0
8,1,3,0,1,3.5,2.5,0
8,1,2,0,0,4,2.5,0
8,1,12,0,7,7.5,17.5,0
8,0,7,0,2,3.5,9,0
8,1,7.5,0,7,4.5,10,0
1,1,2,0,5,7.5,3,0
1,1,2,0,5,6,3,0
1,0,4.5,0,8,8,9,1
20,1,8,0,0,10.5,11,1
20,1,4,0,0,4.5,6,1
20,0,5.5,0,8,5.5,6,1
20,1,4,0,5,8.5,7.5,1
20,1,6,0,0,8,10,1
20,1,4,0,7,6,7.5,1
20,1,2,0,0,7,2.5,1
20,1,1,0,5,3.5,2.5,1
5,1,9,0,0,10.5,15,0
5,1,8.5,1,8,9,20,0
5,1,3.5,0,5,4.5,5.5,0
5,1,5.5,1,8,6.5,12.5,0
5,1,5,0,5,6.5,7.5,0
5,1,2.5,0,0,3.5,3.5,0
5,1,7,0,7,5.5,7.5,0
5,1,3.5,0,7,5.5,8.5,1
5,1,6,0,1,5.5,6.5,1
5,1,10.5,0,0,12,22.5,1
5,1,1.5,0,0,4.5,1.5,0
14,0,6.5,0,3,5,12.5,1
14,0,6.5,0,3,4.5,12.5,1
14,0,12.5,1,3,10,17.5,1
14,1,7.5,1,5,8,14,1
14,0,10,1,3,9,17.5,1
10,0,10,0,3,19,12.5,1
10,1,6,0,5,10,12.5,1
10,1,8,0,5,15,17.5,0
10,1,3.5,0,5,6,4.5,0
10,0,3,0,5,6.5,3,0
10,0,1,0,5,3,1.5,0
10,0,1.5,0,5,5,2.5,0
10,0,4.5,0,8,6.5,4,0
10,0,3.5,0,5,6,6.5,0
10,1,1.5,0,5,5,2.5,0
10,1,3,0,0,9,2.5,0
10,1,4,0,5,10,6,1
10,1,7.5,0,0,8,8,1
2,0,19,0,6,16.5,70,0
2,0,11,1,6,8.5,22.5,0
2,0,7.5,1,6,6,12.5,0
2,0,6.5,1,6,7,15,0
2,1,14,1,6,9,30,0
2,1,11,1,6,8.5,27.5,0
2,0,3.5,0,6,4.5,10,0
2,1,9.5,0,6,10,30,0
2,0,4.5,0,6,5.5,11.5,0
2,0,18.5,0,6,16,35,0
2,0,7.5,1,6,11.5,25,0
2,0,8,0,6,7.5,15,1
2,0,9,1,6,7.5,17.5,1
